MO_1114-Tumor,,,
CRPC,,,
Lymph Node ,,,
,ACAN,1,
,ACSL3,1,
,AURKA,1,
,BCLAF1,1,
,CA2,1,
,CELF1,1,
,CLCN7,1,
,CPSF1,1,
,CREB3L1,1,
,DNAH8,1,
,ERG,1,
,FAM73B,1,
,FAT3,1,
,FGF18,1,
,FPR1,1,
,GFRA2,1,
,GRIN2C,1,
,H1FOO,1,
,HIST1H3I,1,
,HOMER1,1,
,HSPA5,1,
,ICMT,1,
,IGSF9B,1,
,ITGA8,1,
,MKRN1,1,
,MTPAP,1,
,MUC4,1,
,MYH6,1,
,OGDH,1,
,PAX1,1,
,PCDH17,1,
,PCDHA5,1,
,PCDHA8,1,
,PCK1,1,
,PEX5,1,
,PLCG1,1,
,PLXND1,1,
,PPFIA4,1,
,PPP2R5B,1,
,PTGER3,1,
,RNASEH2B,1,
,SHANK1,1,
,SIX5,1,
,SLC12A3,1,
,SMARCAL1,1,
,SRP14,1,
,TAF6,1,
,TBC1D4,1,
,TFPI,1,
,TPRG1,1,
,TRPC4,1,
,TTBK2,1,
,VARS2,1,
,VPS13B,1,
,WRN,2,
,ZFHX3,1,
,ZNF462,1,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
