MO_1114-Tumor,,,,,,
CRPC,,,,,,
Lymph Node,,,,,,
,AARD,8q24.11,AMP,62%,7.60%,
,ABCC11,16q12.1,HOMDEL,NA,2.40%,
,ABCC12,16q12.1,HOMDEL,NA,2.40%,
,ABHD11,7q11.23,AMP,24%,2.40%,
,ABRA,8q23.1,AMP,NA,5.30%,
,ACCSL,11p11.2,AMP,NA,1.20%,
,ADAMTS4,1q21-q23,AMP,60%,0.60%,
,ADCK5,8q24.3,AMP,86%,12.40%,
,ADCY7,16q12.1,HOMDEL,46%,1.20%,
,ADCY8,8q24,AMP,NA,8.80%,
,ADHFE1,8q13.1,AMP,NA,7.60%,
,AGO2,8q24,AMP,98%,11.20%,
,AK3,9p24.1,HOMDEL,10%,0.60%,
,AKTIP,16q12.2,HOMDEL,32%,2.40%,
,ALG10,12p11.1,AMP,92%,0.60%,
,ALG10B,12q12,AMP,100%,0.60%,
,ALKBH3,11p11.2,AMP,100%,1.20%,
,ANAPC1,2q12.1,AMP,100%,27.60%,
,ANAPC16,10q22.1,HOMDEL,12%,0.60%,
,ANGPT1,8q23.1,AMP,36%,5.90%,
,ANKRD46,8q22.2,AMP,96%,7.60%,
,ANXA13,8q24.13,AMP,NA,11.20%,
,API5,11p11.2,AMP,100%,0.60%,
,APOA2,1q23.3,AMP,NA,0.60%,
,AQP10,1q21.3,AMP,NA,5.30%,
,ARC,8q24.3,AMP,NA,13.50%,
,ARFGEF1,8q13,AMP,94%,11.20%,
,ARHGAP15,2q22.2-q22.3,HOMDEL,NA,1.20%,
,ARHGAP30,1q23.3,AMP,8%,0.60%,
,ARHGAP39,8q24.3,AMP,66%,12.40%,
,ARL2BP,16q13,HOMDEL,22%,1.80%,
,ARMC1,8q13.1,AMP,100%,5.90%,
,ASAP1,8q24.1-q24.2,AMP,48%,8.80%,
,ASAP1-IT1,8q24.21,AMP,NA,8.80%,
,ASCC1,10pter-q25.3,HOMDEL,18%,0.60%,
,ASPH,8q12.1,AMP,62%,5.30%,
,ATAD2,8q24.13,AMP,82%,9.40%,
,ATP5H,17q25,AMP,54%,1.80%,
,ATP6V0D2,,AMP,14%,6.50%,
,ATP6V1C1,8q22.3,AMP,98%,5.90%,
,ATP6V1H,8q11.2,AMP,80%,4.70%,
,ATP8B2,1q21.3,AMP,76%,5.30%,
,ATXN8OS,13q21,HOMDEL,NA,3.50%,
,AZIN1,8q22.3,AMP,86%,5.30%,
,B4GALT3,1q21-q23,AMP,100%,0.60%,
,BAALC,8q22.3,AMP,74%,6.50%,
,BAALCOS,8q22.3,AMP,NA,6.50%,
,BAI1,8q24.3,AMP,88%,13.50%,
,BAZ1B,7q11.23,AMP,96%,2.40%,
,BCL7B,7q11.23,AMP,100%,2.40%,
,BEAN1,16q21,HOMDEL,NA,2.90%,
,BHLHE22,8q13,AMP,NA,5.90%,
,BNC2,9p22.2,HOMDEL,40%,0.60%,
,BOP1,8q24.3,AMP,90%,12.40%,
,BORA,13q22.1,HOMDEL,30%,2.90%,
,BRD7,16q12,HOMDEL,10%,1.20%,
,BREA2,8q24.3,AMP,NA,13.50%,
,BTBD17,17q25.1,AMP,86%,2.90%,
,BTF3P11,13q22,HOMDEL,NA,1.20%,
,C10ORF105,10q22.1,HOMDEL,NA,0.60%,
,C10ORF54,10q22.1,HOMDEL,42%,0.60%,
,C11ORF94,11p11.2,AMP,NA,2.40%,
,C11ORF96,11p11.2,AMP,NA,1.20%,
,C16ORF78,16q12.1,HOMDEL,NA,1.20%,
,C17ORF77,17q25.1,AMP,NA,2.90%,
,C17ORF80,17q25.1,AMP,84%,1.80%,
,C1ORF189,1q21.3,AMP,NA,5.30%,
,C1ORF192,1q23.3,AMP,NA,0.60%,
,C1ORF43,1q21.2,AMP,100%,5.30%,
,C8ORF22,8q11,AMP,NA,6.50%,
,C8ORF31,8q24.3,AMP,16%,12.40%,
,C8ORF33,8q24.3,AMP,92%,12.40%,
,C8ORF34,8q13,AMP,NA,10.60%,
,C8ORF37,8q22.1,AMP,66%,8.20%,
,C8ORF44,8q13.1,AMP,NA,8.80%,
,C8ORF44-SGK3,,AMP,NA,9.40%,
,C8ORF46,8q13.1,AMP,4%,7.60%,
,C8ORF59,8q21.2,AMP,50%,7.60%,
,C8ORF69,8q22.1,AMP,NA,8.20%,
,C8ORF76,8q24.13,AMP,88%,9.40%,
,C8ORF82,8q24,AMP,NA,12.40%,
,C9ORF66,9p24.3,HOMDEL,NA,0.60%,
,CA1,8q21.2,AMP,NA,7.60%,
,CA13,8q21.2,AMP,30%,7.60%,
,CA2,8q22,AMP,42%,7.60%,
,CA3,8q21.2,AMP,NA,7.60%,
,CA7,16q22.1,HOMDEL,NA,2.90%,
,CA8,8q12.1,AMP,64%,5.30%,
,CALB1,8q21.3,AMP,24%,6.50%,
,CBLN1,16q12.1,HOMDEL,NA,1.20%,
,CBWD1,9p24.3,HOMDEL,12%,0.60%,
,CCDC102A,16q21,HOMDEL,56%,1.80%,
,CCDC135,16q21,HOMDEL,NA,1.80%,
,CCDC166,8q24.3,AMP,NA,13.50%,
,CCDC171,9p22.3,HOMDEL,8%,0.60%,
,CCDC79,16q22.1,HOMDEL,NA,2.90%,
,CCL17,16q13,HOMDEL,NA,1.80%,
,CCL22,16q13,HOMDEL,14%,1.80%,
,CCNE2,8q22.1,AMP,NA,7.60%,
,CD244,1q23.3,AMP,NA,0.60%,
