MO_1020-Tumor,,,,,,
CRPC,,,,,,
Lymph Node,,,,,,
,ARL5C,17q12,AMP,NA,0.60%,
,ATAD1,10q23.31,HOMDEL,26%,12.90%,
,CACNB1,17q21-q22,AMP,86%,0.60%,
,CDK12,17q12,AMP,100%,2.40%,
,CFL1P1,10q23.31,HOMDEL,NA,14.10%,
,CSF3,17q11.2-q12,AMP,NA,1.20%,
,ERBB2,17q12,AMP,52%,1.20%,
,FBXL20,17q12,AMP,98%,1.80%,
,GRB7,17q12,AMP,66%,1.20%,
,GSDMA,17q21.1,AMP,NA,1.80%,
,GSDMB,17q12,AMP,96%,1.20%,
,IKZF3,17q21,AMP,90%,1.20%,
,KLLN,10q23,HOMDEL,NA,14.10%,
,LIPF,10q23.31,HOMDEL,NA,7.10%,
,LIPJ,10q23.31,HOMDEL,NA,8.20%,
,LIPK,10q23.31,HOMDEL,NA,6.50%,
,LRRC3C,17q12-q21.1,AMP,NA,1.80%,
,MED1,17q12,AMP,86%,2.40%,
,MED24,17q21.1,AMP,96%,1.20%,
,MIEN1,17q12,AMP,72%,1.20%,
,MIR4728,,AMP,NA,1.20%,
,NEUROD2,17q12,AMP,92%,1.20%,
,NR1D1,17q11.2,AMP,84%,1.20%,
,ORMDL3,17q12,AMP,70%,1.80%,
,PAPSS2,10q24,HOMDEL,80%,11.20%,
,PGAP3,17q12,AMP,90%,1.20%,
,PNMT,17q,AMP,46%,1.80%,
,PPP1R1B,17q12,AMP,50%,1.20%,
,PSMD3,17q21.1,AMP,82%,1.20%,
,PTEN,10q23.3,HOMDEL,70%,14.10%,
,PWAR5,15q11.2,AMP,NA,5.30%,
,PWARSN,15q11.2,AMP,NA,4.70%,
,RNLS,10q23.31,HOMDEL,NA,9.40%,
,RPL19,17q12,AMP,78%,1.20%,
,SNORD107,15q11.2,AMP,NA,4.70%,
,SNORD108,15q11.2,AMP,NA,5.30%,
,SNORD109A,15q11.2,AMP,NA,5.30%,
,SNORD109B,15q11.2,AMP,NA,5.30%,
,SNORD116-1,15q11.2,AMP,NA,5.30%,
,SNORD116-10,15q11.2,AMP,NA,5.30%,
,SNORD116-11,15q11.2,AMP,NA,5.30%,
,SNORD116-12,15q11.2,AMP,NA,5.30%,
,SNORD116-13,15q11.2,AMP,NA,4.70%,
,SNORD116-14,15q11.2,AMP,NA,4.70%,
,SNORD116-2,15q11.2,AMP,NA,5.30%,
,SNORD116-3,15q11.2,AMP,NA,5.30%,
,SNORD116-4,15q11.2,AMP,NA,5.30%,
,SNORD116-5,15q11.2,AMP,NA,5.30%,
,SNORD116-6,15q11.2,AMP,NA,5.30%,
,SNORD116-7,15q11.2,AMP,NA,5.30%,
,SNORD116-8,15q11.2,AMP,NA,5.30%,
,SNORD116-9,15q11.2,AMP,NA,5.30%,
,SNORD124,17q21.1,AMP,NA,1.20%,
,SNORD64,15q12,AMP,NA,5.30%,
,STAC2,17q12,AMP,76%,1.20%,
,STARD3,17q11-q12,AMP,100%,1.20%,
,TCAP,17q12,AMP,84%,1.80%,
,THRA,17q11.2,AMP,78%,1.20%,
,ZPBP2,17q12,AMP,NA,0.60%,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
