,FXR2,17p13.1,HOMDEL,2
,NCF1,7q11.23,AMP,21
,TSC22D1-AS1,13q14.11,HOMDEL,3
,SSX5,Xp11.23,AMP,6
,CCDC116,1
,FBXO39,17p13.1,HOMDEL,4
,MIR-4314/4314,,HOMDEL,2
,ALOX15,17p13.3,HOMDEL,1
,PLXNB2,22q13.33,HOMDEL,0
,SKA3,13q12.11,HOMDEL,1
,MIR-2276/2276,,HOMDEL,1
,RASL11A,13q12.2,HOMDEL,1
,SACS,13q12,HOMDEL,1
,MED31,17p13.1,HOMDEL,2
,TRIM74,7q11.23,AMP,10
,KBTBD7,13q14.11,HOMDEL,4
,DCHS2,1
,SLC35G6,17p13.1,HOMDEL,3
,SULT1E1,1
,SYCE3,22q13.33,HOMDEL,0
,SHISA2,13q12.13,HOMDEL,1
,IFT88,13q12.1,HOMDEL,0
,ZDHHC20,13q12.11,HOMDEL,1
,SIAH3,13q14.13,HOMDEL,3
,P2RX5-TAX1BP3,17p,HOMDEL,1
,DLEU1,13q14.3,HOMDEL,5
,KPNA3,13q14.3,HOMDEL,7
,FAM124A,13q14.3,HOMDEL,4
,SLC25A11,17p13.3,HOMDEL,2
,KIF25,6q27,HOMDEL,1
,EIF5A,17p13-p12,HOMDEL,2
,STAG3L1,7q11.23,AMP,10
,CYB5D1,17p13.1,HOMDEL,2
,TUBGCP3,1
,SMOC2,6q27,HOMDEL,0
,SNORD10,17p13.1,HOMDEL,5
,TNFSF11,13q14,HOMDEL,4
,ESD,13q14.1-q14.2,HOMDEL,4
,LINC00421,13q12.11,HOMDEL,10
,SERGEF,1
,CELSR1,22q13.3,HOMDEL,0
,MIR-3169/3169,,HOMDEL,1
,ERG,1
,HTR2A,13q14-q21,HOMDEL,4
,MIR-3201/3201,,HOMDEL,0
,PFAS,17p13.1,HOMDEL,2
,CPT1B,22q13.33,HOMDEL,0
,NUDT15,13q14.2,HOMDEL,4
,MYH14,1
,STAG3L2,7q11.23,AMP,18
,MYH13,17p13,HOMDEL,2
,PHF11,13q14.2,HOMDEL,7
,TNFRSF19,13q12.11-q12.3,HOMDEL,1
,IL17REL,22q13.33,HOMDEL,0
,OR7E37P,,HOMDEL,4
,MLNR,13q14-q21,HOMDEL,6
,VWA8,13q14.11,HOMDEL,4
,MIPEP,13q12,HOMDEL,1
,SPRYD7,13q14,HOMDEL,6
,ASGR2,17p,HOMDEL,2
,GLTPD2,17p13.2,HOMDEL,2
,SENP3-EIF4A1,17p,HOMDEL,2
,MTRF1,13q14.1-q14.3,HOMDEL,4
,TCP10,6q27,HOMDEL,1
,KCTD4,13q14.12,HOMDEL,3
,CAMTA2,17p13.2,HOMDEL,2
,CRYL1,13q12.11,HOMDEL,0
,FLT3,13q12,HOMDEL,1
,MIR15A,13q14.2,HOMDEL,5
,SUGT1P3,13q14.11,HOMDEL,4
,TPTE2P6,13q12.12,HOMDEL,1
,ODF3B,22q13.33,HOMDEL,0
,ATXN10,22q13.31,HOMDEL,1
,MIR4703,,HOMDEL,2
,MAPK11,22q13.33,HOMDEL,0
,SERP2,13q14.11,HOMDEL,3
,GPALPP1,13q14.12,HOMDEL,3
,SOX15,17p12.3,HOMDEL,2
,ENOX1,13q14.11,HOMDEL,3
,LCP1,13q14.3,HOMDEL,3
,CROCC,1
,LOC339166,17p13.3-p13.2,HOMDEL,2
,MIR3619,,HOMDEL,1
,MPDU1,17p13.1-p12,HOMDEL,2
,FAM19A5,22q13.32,HOMDEL,0
,PHF2P1,13q11,HOMDEL,10
,LINC00242,6q27,HOMDEL,0
,ALOX12P2,17p13,HOMDEL,4
,SNORA48,17p13.1,HOMDEL,2
,RNASEK,17p13.1,HOMDEL,2
,PANX2,22q13.33,HOMDEL,0
,SETDB2,13q14,HOMDEL,7
,DLL1,6q27,HOMDEL,0
,GTF2IRD2,7q11.23,AMP,19
,ATXN8OS,13q21,HOMDEL,3
,SAP18,13q12.11,HOMDEL,1
,SLC25A15,13q14,HOMDEL,4
,TTLL2,6q27,HOMDEL,1
,C17ORF107,17p13.2,HOMDEL,1
,P2RX5,17p13.3,HOMDEL,1
,KLHDC7B,22q13.33,HOMDEL,0
,MIRLET7BHG,22q13.31,HOMDEL,1
,CYSLTR2,13q14.2,HOMDEL,6
,TBP,6q27,HOMDEL,2
,EXOSC8,13q13.1,HOMDEL,3
,NCF1C,7q11.23,AMP,11
,NLRP1,17p13.2,HOMDEL,2
,ALOX12B,17p13.1,HOMDEL,2
,PROSER1,13q13.3,HOMDEL,4
,LINC00547,13q13.3,HOMDEL,4
,TPT1-AS1,13q14.13,HOMDEL,3
,CDADC1,13q14.2,HOMDEL,6
,ZC3H7A,1
,C8B,1
,ATP12A,13q12.12|13q12.1-q12.3,HOMDEL,2
,LINC00442,13q12.11,HOMDEL,10
,MIR4644,,HOMDEL,2
,SELO,22q13.33,HOMDEL,0
,HIF3A,1
,DIS3,13q22.1,HOMDEL,2
,FGF9,13q11-q12,HOMDEL,1
,AIPL1,17p13.1,HOMDEL,2
,LINC00550,13q21.33,HOMDEL,3
,RNASEH2B,13q14.3,HOMDEL,5
,ACADVL,17p13.1,HOMDEL,1
,EPSTI1,13q13.3,HOMDEL,4
,BRD1,22q13.33,HOMDEL,0
,ERMARD,6q27,HOMDEL,1
,KLHL38,1
,PITPNM3,17p13,HOMDEL,2
,TPTE2P3,13q14.3,HOMDEL,2
,ARRB2,17p13,HOMDEL,1
,UNC93A,6q27,HOMDEL,1
,KBTBD6,13q14.11,HOMDEL,4
,C1QBP,17p13.3,HOMDEL,2
,TRPC4,13q13.3,HOMDEL,4
,RABEP1,17p13.2,HOMDEL,2
,HDAC10,22q13.31,HOMDEL,0
,PIM3,22q13,HOMDEL,0
,ANKRD26P3,13q12.11,HOMDEL,10
,WBP4,13q14.11,HOMDEL,4
,MIR497HG,17p13.1,HOMDEL,1
,GUCY1B2,13q14.3,HOMDEL,5
,MIR195,17p13.1,HOMDEL,1
,COG3,13q14.13,HOMDEL,3
,CSNK1A1L,13q13.3,HOMDEL,4
,GTSE1-AS1,22q13.31,HOMDEL,1
,TMEM102,17p13.1,HOMDEL,2
,ANKFY1,17p13.3,HOMDEL,2
,POLR2A,17p13.1,HOMDEL,4
,OR3A1,17p13.3,HOMDEL,2
,TSHZ3,1
,RPAIN,17p13.2,HOMDEL,2
,LOC100128288,17p13.1,HOMDEL,0
,LOC154449,6q27,HOMDEL,0
,LNX2,13q12.2,HOMDEL,1
,GP1BA,17p13.2,HOMDEL,1
,TRAM1,1
,SHANK3,22q13.3,HOMDEL,0
,LACC1,13q14.11,HOMDEL,3
