Reactome Pathway	Sum	Avg	StdDev
Chaperonin-mediated protein folding	21	0.875	1.29589653371207
NADE modulates death signalling	3	0.125	0.448427203146441
Vitamin B5 (pantothenate) metabolism	13	0.541666666666667	1.10253331475513
mRNA Editing: C to U Conversion	0	0	0
Acrosome Reaction	2	0.0833333333333333	0.28232985128664
Inhibition of IFN-beta	0	0	0
Packaging of Eight RNA Segments	0	0	0
Defective CUBN causes hereditary megaloblastic anemia 1	48	2	2.94883912309794
Telomere C-strand synthesis initiation	3	0.125	0.337831962346088
Adaptive Immune System	260	10.8333333333333	14.2940141520746
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2	0	0	0
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	31	1.29166666666667	2.0951116327354
Generation of second messenger molecules	9	0.375	0.646898957233327
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	7	0.291666666666667	0.858672720295521
Extracellular matrix organization	118	4.91666666666667	6.20600457247843
Defects in cobalamin (B12) metabolism	48	2	2.94883912309794
Keratan sulfate degradation	5	0.208333333333333	0.508977377704051
Synthesis of PIPs at the late endosome membrane	9	0.375	0.769669607265238
DNA strand elongation	19	0.791666666666667	2.22591782079383
misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling	87	3.625	5.92571771473993
Metabolism of serotonin	3	0.125	0.337831962346088
vRNA Synthesis	0	0	0
HSF1 activation	15	0.625	1.20911394075957
Nef Mediated CD8 Down-regulation	2	0.0833333333333333	0.28232985128664
Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE	48	2	2.94883912309794
NOSIP mediated eNOS trafficking	1	0.0416666666666667	0.204124145231932
FGFR2b ligand binding and activation	3	0.125	0.448427203146441
Innate Immune System	252	10.5	13.9689095774369
Loss of Function of TGFBR1 in Cancer	27	1.125	1.45400496380948
beta-catenin independent WNT signaling	70	2.91666666666667	4.57703783710806
Metabolism of porphyrins	7	0.291666666666667	0.69025305168635
G2 Phase	1	0.0416666666666667	0.204124145231932
C6 deamination of adenosine	13	0.541666666666667	0.588229965875272
Formation of apoptosome	1	0.0416666666666667	0.204124145231932
ISG15 antiviral mechanism	37	1.54166666666667	2.10546218548155
Reactions specific to the hybrid N-glycan synthesis pathway	1	0.0416666666666667	0.204124145231932
G alpha (12/13) signalling events	37	1.54166666666667	1.44400309124885
MyD88 dependent cascade initiated on endosome	41	1.70833333333333	2.34945260352957
NGF processing	0	0	0
Synthesis of PG	7	0.291666666666667	0.69025305168635
CD28 dependent Vav1 pathway	8	0.333333333333333	0.56465970257328
Interactions of Rev with host cellular proteins	19	0.791666666666667	1.47380509202383
Amino acid transport across the plasma membrane	11	0.458333333333333	0.931532942621143
Transmission across Chemical Synapses	105	4.375	4.44103885222326
Insulin processing	12	0.5	0.884651736929383
RORA activates circadian gene expression	21	0.875	0.9469631093315
APOBEC3G mediated resistance to HIV-1 infection	0	0	0
Activation of Nicotinic Acetylcholine Receptors	11	0.458333333333333	0.721060008759246
Glutamate Neurotransmitter Release Cycle	12	0.5	0.722315118514615
TGFBR1 LBD Mutants in Cancer	27	1.125	1.45400496380948
S Phase	69	2.875	6.01673391106186
