Circadian Clock	6	2	2	1	8	2	3	2	0	2	0	0	0	0	1	0	0	1	2	0	0	1	1	1	3	4	1	7	0	1	2	0	0	2	4	3	1	5	2	1	0	2	2	3	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	1	1	0
Adaptive Immune System	75	16	12	6	61	45	13	8	13	4	0	3	1	11	3	5	6	11	8	9	8	9	36	5	7	39	10	66	5	14	10	7	3	50	30	12	12	9	12	4	0	7	11	14	11	6	7	2	6	7	4	3	1	0	2	3	0	2	1	2	1	1	1	2	8	2	2	1	1	1	2	1	0	1	0	0	1	3	3	1	3	3	0	2	2	1	5	3	0	0	3	3	4	2	31	2	1	3	5	4
Innate Immune System	72	14	12	8	49	36	18	9	16	3	1	5	1	9	3	4	5	9	3	6	4	9	41	6	5	32	9	80	3	10	6	9	15	39	29	14	7	11	13	4	0	7	10	17	15	4	6	1	6	8	6	3	3	4	4	1	3	1	2	2	1	2	1	3	4	3	2	2	4	1	1	0	2	4	0	1	1	3	4	3	4	2	0	3	3	5	4	4	1	1	3	2	4	2	26	3	1	4	7	4
Metabolism of porphyrins	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Transmission across Chemical Synapses	21	4	4	4	17	16	12	4	9	1	0	0	2	2	4	0	0	2	5	4	1	2	8	0	3	13	2	16	2	1	2	3	1	19	9	6	5	1	7	1	1	1	6	11	6	2	4	0	4	3	0	0	1	3	1	2	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	1	0	0	1	0	0	0	1	1	1	0	7	1	0	0	0	1
Signaling by Wnt	44	5	7	4	23	20	7	5	6	2	0	0	1	2	3	0	3	10	9	2	1	6	12	2	3	12	6	32	1	4	4	2	1	27	19	7	3	4	11	0	1	6	3	7	8	4	5	1	3	2	0	0	2	0	1	1	1	1	0	1	1	0	0	0	3	0	1	2	0	2	0	0	0	2	0	1	0	1	1	2	1	1	0	0	1	4	1	1	0	0	0	1	1	1	9	1	1	1	1	2
Cytosolic iron-sulfur cluster assembly	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Deadenylation-dependent mRNA decay	7	0	1	1	3	3	4	2	0	0	0	1	1	0	1	0	0	0	0	0	2	0	4	0	0	0	1	7	0	0	1	0	1	4	4	3	1	1	3	0	1	1	1	1	3	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0
Signaling by PDGF	25	6	6	5	21	13	9	5	5	3	0	0	1	3	1	3	4	3	5	5	3	5	11	4	1	14	4	24	1	4	1	4	1	12	10	4	4	6	4	2	0	2	6	5	5	4	4	0	3	0	3	1	0	1	1	1	0	1	2	0	1	1	0	1	5	0	1	1	0	0	1	0	0	1	0	0	1	3	2	1	3	1	0	0	0	2	2	0	0	0	1	0	5	2	15	2	1	2	2	3
Scavenging by Class B Receptors	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
